texkeys,arxiv_eprints,preprint_date,citation_count,citation_count_without_self_citations,doi,title
Fox:2020hfm, 2012.04533, 2020-12-08, 1, 0, N/A, "Beyond 4D Tracking: Using Cluster Shapes for Track Seeding"
Aad:2020fpj, 2009.14791, 2020-09-30, 12, 10, 10.1140/epjc/s10052-021-09013-y, "Search for heavy resonances decaying into a pair of Z bosons in the $\ell ^+\ell ^-\ell '^+\ell '^-$ and $\ell ^+\ell ^-\nu {{\bar{\nu }}}$ final states using 139 $\mathrm {fb}^{-1}$ of proton–proton collisions at $\sqrt{s} = 13\,$TeV with the ATLAS detector"
Ju:2020tbo, 2008.06064, 2020-08-25, 8, 8, 10.1103/PhysRevD.102.075014, "Supervised Jet Clustering with Graph Neural Networks for Lorentz Boosted Bosons"
Aad:2020xfq, 2007.07830, 2020-07-15, 53, 41, 10.1016/j.physletb.2020.135980, "A search for the dimuon decay of the Standard Model Higgs boson with the ATLAS detector"
Choma:2020cry, 2007.00149, 2020-06-30, 6, 1, N/A, "Track Seeding and Labelling with Embedded-space Graph Neural Networks"
Aad:2020ivc, 2004.04545, 2020-04-09, 34, 18, 10.1103/PhysRevLett.125.061802, "$CP$ Properties of Higgs Boson Interactions with Top Quarks in the $t\bar{t}H$ and $tH$ Processes Using $H \rightarrow \gamma\gamma$ with the ATLAS Detector"
Ju:2020xty, 2003.11603, 2020-03-25, 23, 12, N/A, "Graph Neural Networks for Particle Reconstruction in High Energy Physics detectors"
Aaboud:2018bun, 1808.02380, 2018-08-07, 84, 45, 10.1103/PhysRevD.98.052008, "Combination of searches for heavy resonances decaying into bosonic and leptonic final states using 36  fb$^{-1}$ of proton-proton collision data at $\sqrt{s} = 13$ TeV with the ATLAS detector"
Aaboud:2017rel, 1712.06386, 2017-12-18, 106, 79, 10.1140/epjc/s10052-018-5686-3, "Search for heavy ZZ resonances in the $\ell ^+\ell ^-\ell ^+\ell ^-$ and $\ell ^+\ell ^-\nu \bar{\nu }$ final states using proton–proton collisions at $\sqrt{s}= 13$   $\text {TeV}$ with the ATLAS detector"
Aaboud:2017phn, 1711.03301, 2017-11-09, 301, 224, 10.1007/JHEP01(2018)126, "Search for dark matter and other new phenomena in events with an energetic jet and large missing transverse momentum using the ATLAS detector"
Aaboud:2017itg, 1708.09638, 2017-08-31, 93, 53, 10.1007/JHEP03(2018)009, "Searches for heavy $ZZ$ and $ZW$ resonances in the $\ell\ell qq$ and $\nu\nu qq$ final states in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector"
Aaboud:2017yyg, 1707.04147, 2017-07-13, 166, 125, 10.1016/j.physletb.2017.10.039, "Search for new phenomena in high-mass diphoton final states using 37 fb$^{-1}$ of proton--proton collisions collected at $\sqrt{s}=13$ TeV with the ATLAS detector"
Aaboud:2016tru, 1606.03833, 2016-06-13, 213, 156, 10.1007/JHEP09(2016)001, "Search for resonances in diphoton events at $\sqrt{s}$=13 TeV with the ATLAS detector"
Aaboud:2016tnv, 1604.07773, 2016-04-26, 303, 220, 10.1103/PhysRevD.94.032005, "Search for new phenomena in final states with an energetic jet and large missing transverse momentum in $pp$ collisions at $\sqrt{s}=13$  TeV using the ATLAS detector"
Abercrombie:2015wmb, 1507.00966, 2015-07-03, 487, 329, 10.1016/j.dark.2019.100371, "Dark Matter Benchmark Models for Early LHC Run-2 Searches: Report of the ATLAS/CMS Dark Matter Forum"
Aad:2014eva, 1408.5191, 2014-08-21, 339, 213, 10.1103/PhysRevD.91.012006, "Measurements of Higgs boson production and couplings in the four-lepton channel in pp collisions at center-of-mass energies of 7 and 8 TeV with the ATLAS detector"
Aad:2014tca, 1408.3226, 2014-08-14, 144, 77, 10.1016/j.physletb.2014.09.054, "Fiducial and differential cross sections of Higgs boson production measured in the four-lepton decay channel in $pp$ collisions at $\sqrt{s}$=8 TeV with the ATLAS detector"
Aad:2014aba, 1406.3827, 2014-06-15, 531, 329, 10.1103/PhysRevD.90.052004, "Measurement of the Higgs boson mass from the $H\rightarrow \gamma\gamma$ and $H \rightarrow ZZ^{*} \rightarrow 4\ell$ channels with the ATLAS detector using 25 fb$^{-1}$ of $pp$ collision data"
Aad:2012tfa, 1207.7214, 2012-07, 12224, 10353, 10.1016/j.physletb.2012.08.020, "Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC"
ATLAS:2012ac, 1202.1415, 2012-02, 197, 131, 10.1016/j.physletb.2012.03.005, "Search for the Standard Model Higgs boson in the decay channel $H \to ZZ^{(*)} \to 4 \ell$ with 4.8 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=7$ TeV with ATLAS"
ATLAS:2012ae, 1202.1408, 2012-02, 740, 639, 10.1016/j.physletb.2012.02.044, "Combined search for the Standard Model Higgs boson using up to 4.9 fb$^{-1}$ of $pp$ collision data at $\sqrt{s}=7$ TeV with the ATLAS detector at the LHC"
Aad:2011uq, 1109.5945, 2011-09, 42, 22, 10.1016/j.physletb.2011.10.034, "Search for the Standard Model Higgs boson in the decay channel H→ZZ$^{(⁎)}$→4ℓ with the ATLAS detector"
Aad:2011uv, 1104.4481, 2011-04, 54, 25, 10.1103/PhysRevD.83.112006, "Search for pair production of first or second generation leptoquarks in proton-proton collisions at $\sqrt{s}=7$ TeV using the ATLAS detector at the LHC"
Aad:2010yt, 1010.2130, 2010-10, 384, 99, 10.1007/JHEP12(2010)060, "Measurement of the $W \to \ell\nu$ and $Z/\gamma^* \to \ell\ell$ Production Cross Sections in Proton-Proton Collisions at $\sqrt{s} = 7$ TeV with the ATLAS Detector"
