texkeys,arxiv_eprints,preprint_date,citation_count,citation_count_without_self_citations,doi,title
Akram:2022zmj,2208.12178,2022-08-25,0,0,N/A,"Track Reconstruction using Geometric Deep Learning in the Straw Tube Tracker (STT) at the PANDA Experiment"
Dumont:2022gbn,2208.07715,2022-08-12,0,0,N/A,"Hyperparameter Optimization of Generative Adversarial Network Models for High-Energy Physics Simulations"
Ghosh:2022zdz,2203.12660,2022-03-23,2,1,N/A,"Towards a Deep Learning Model for Hadronization"
Wang:2022oer,2203.08800,2022-03-14,0,0,N/A,"Reconstruction of Large Radius Tracks with the Exa.TrkX pipeline"
Qiu:2022xvr,2203.05687,2022-03-10,3,2,N/A,"A Holistic Approach to Predicting Top Quark Kinematic Properties with the Covariant Particle Transformer"
Lazar:2022ixi,2202.06929,2022-02-14,1,1,N/A,"Accelerating the Inference of the Exa.TrkX Pipeline"
Ju:2021ayy,2103.06995,2021-03-11,14,8,10.1140/epjc/s10052-021-09675-8,"Performance of a geometric deep learning pipeline for HL-LHC particle tracking"
Wang:2021gdl,2103.05751,2021-03-09,1,0,10.21468/SciPostPhysCore.5.1.001,"BROOD: Bilevel and Robust Optimization and Outlier Detection for Efficient Tuning of High-Energy Physics Event Generators"
Hewes:2021heg,2103.06233,2021-03-10,2,1,10.1051/epjconf/202125103054,"Graph Neural Network for Object Reconstruction in Liquid Argon Time Projection Chambers"
Krishnamoorthy:2021nwv,2103.05748,2021-03-09,7,3,10.1051/epjconf/202125103060,"Apprentice for Event Generator Tuning"
Fox:2020hfm,2012.04533,2020-12-08,4,3,10.1088/1748-0221/16/05/P05001,"Beyond 4D Tracking: Using Cluster Shapes for Track Seeding"
ATLAS:2020tlo,2009.14791,2020-09-30,61,38,10.1140/epjc/s10052-021-09013-y,"Search for heavy resonances decaying into a pair of Z bosons in the $\ell ^+\ell ^-\ell '^+\ell '^-$ and $\ell ^+\ell ^-\nu {{\bar{\nu }}}$ final states using 139 $\mathrm {fb}^{-1}$ of proton–proton collisions at $\sqrt{s} = 13\,$TeV with the ATLAS detector"
Ju:2020tbo,2008.06064,2020-08-25,19,19,10.1103/PhysRevD.102.075014,"Supervised Jet Clustering with Graph Neural Networks for Lorentz Boosted Bosons"
